project_id,project_type,location,budget,planned_duration_days,current_progress_pct,time_elapsed_pct,progress_efficiency,resource_availability,project_complexity,weather_impact,timeline_pressure,delay_days,additional_cost_usd,progress_variance,labor_availability,weather_risk_location,material_cost_factor
PROJ_0001,commercial_building,Delhi,12211514.34,292,87.9,71.3,0.773,0.852,0.308,0.604,0.3,20.1,1010354.37,0.166,0.9,0.8,1.0
PROJ_0002,highway_construction,Bangalore,21914332.38,560,17.6,25.4,0.895,0.848,0.388,0.62,0.078,24.7,1160333.03,-0.078,0.9,0.6,1.05
PROJ_0003,residential_building,Chennai,3672945.63,212,84.1,53.0,0.619,0.765,0.194,0.568,0.0,20.9,434618.76,0.311,0.8,0.8,1.0
PROJ_0004,residential_building,Mumbai,3002247.03,214,58.6,46.9,0.601,0.751,0.217,0.766,0.0,38.8,652620.25,0.117,0.8,0.9,1.1
PROJ_0005,industrial_facility,Delhi,64411533.71,986,60.9,25.9,0.749,0.825,0.572,0.395,0.0,21.3,1671324.34,0.349,0.9,0.8,1.0
PROJ_0006,industrial_facility,Bangalore,37706676.45,732,57.7,67.3,0.842,0.879,0.55,0.495,0.095,23.4,1444286.14,-0.095,0.9,0.6,1.05
PROJ_0007,bridge_construction,Chennai,34781021.35,600,75.2,59.5,0.684,0.833,0.499,0.646,0.0,24.2,1684284.88,0.158,0.8,0.8,1.0
PROJ_0008,residential_building,Mumbai,2622436.1,180,49.0,33.7,0.777,0.871,0.198,0.64,0.0,19.3,335928.55,0.154,0.8,0.9,1.1
PROJ_0009,commercial_building,Bangalore,10878344.16,359,28.3,33.4,0.56,0.77,0.306,0.47,0.051,31.4,1139442.21,-0.051,0.9,0.6,1.05
PROJ_0010,industrial_facility,Pune,63981074.59,825,70.7,31.8,0.75,0.905,0.586,0.348,0.0,25.3,2355546.48,0.389,0.9,0.7,1.05
PROJ_0011,bridge_construction,Mumbai,17533767.48,595,73.9,26.6,0.79,0.798,0.447,0.513,0.0,26.5,938098.66,0.472,0.8,0.9,1.1
PROJ_0012,residential_building,Kolkata,2001395.93,212,64.9,47.5,0.44,0.832,0.203,0.593,0.0,29.4,333821.76,0.174,0.7,0.9,0.95
PROJ_0013,bridge_construction,Hyderabad,25230318.14,593,81.4,26.2,0.571,0.877,0.474,0.519,0.0,35.9,1831903.5,0.551,0.8,0.7,1.0
PROJ_0014,industrial_facility,Delhi,37678368.44,1092,87.0,65.6,0.843,0.808,0.535,0.482,0.0,36.9,1527021.24,0.215,0.9,0.8,1.0
PROJ_0015,highway_construction,Mumbai,20716474.73,579,59.6,62.3,0.562,0.808,0.407,0.633,0.028,32.3,1387520.18,-0.028,0.8,0.9,1.1
PROJ_0016,highway_construction,Ahmedabad,16532649.24,558,21.5,60.1,0.702,0.79,0.373,0.653,0.386,41.1,1463470.86,-0.386,0.8,0.8,0.98
PROJ_0017,industrial_facility,Ahmedabad,67151670.28,1075,18.5,41.2,0.738,0.765,0.573,0.477,0.226,45.7,3425227.74,-0.226,0.8,0.8,0.98
PROJ_0018,industrial_facility,Mumbai,67045872.79,960,38.4,32.7,0.598,0.766,0.55,0.737,0.0,36.6,3068415.84,0.058,0.8,0.9,1.1
PROJ_0019,highway_construction,Chennai,17232115.45,562,85.2,22.3,0.671,0.766,0.351,0.539,0.0,42.7,1572668.89,0.629,0.8,0.8,1.0
PROJ_0020,commercial_building,Hyderabad,10688441.6,351,19.4,16.6,0.776,0.757,0.298,0.504,0.0,33.2,1212034.48,0.028,0.8,0.7,1.0
PROJ_0021,industrial_facility,Ahmedabad,49040647.71,964,43.8,70.2,0.489,0.848,0.565,0.448,0.565,57.8,3531616.44,-0.265,0.8,0.8,0.98
PROJ_0022,highway_construction,Hyderabad,20056301.81,457,78.2,19.5,0.719,0.847,0.38,0.44,0.0,31.5,1658981.27,0.588,0.8,0.7,1.0
PROJ_0023,commercial_building,Hyderabad,10818725.77,311,78.4,67.0,0.718,0.846,0.289,0.536,0.0,31.6,1322020.69,0.115,0.8,0.7,1.0
PROJ_0024,industrial_facility,Pune,47237426.07,1091,51.5,33.6,0.83,0.832,0.583,0.556,0.0,23.8,1238752.79,0.18,0.9,0.7,1.05
PROJ_0025,bridge_construction,Bangalore,26274760.82,614,55.9,76.5,0.565,0.919,0.45,0.508,0.506,37.1,1903370.77,-0.206,0.9,0.6,1.05
PROJ_0026,highway_construction,Delhi,22213298.65,542,85.1,24.6,0.83,0.784,0.383,0.462,0.0,32.3,1590998.19,0.605,0.9,0.8,1.0
PROJ_0027,commercial_building,Chennai,7405615.18,467,31.8,77.7,0.779,0.844,0.297,0.519,0.759,30.3,576792.48,-0.459,0.8,0.8,1.0
PROJ_0028,industrial_facility,Bangalore,52616564.7,761,38.9,39.7,0.832,0.832,0.552,0.361,0.008,26.2,2175423.24,-0.008,0.9,0.6,1.05
PROJ_0029,residential_building,Kolkata,3176554.22,173,31.3,23.0,0.603,0.783,0.234,0.5,0.0,36.7,809806.13,0.083,0.7,0.9,0.95
PROJ_0030,bridge_construction,Hyderabad,29279138.5,865,25.4,56.9,0.581,0.791,0.483,0.632,0.315,46.3,1881933.68,-0.315,0.8,0.7,1.0
PROJ_0031,bridge_construction,Pune,33390095.76,694,13.6,47.5,0.742,0.806,0.469,0.467,0.339,29.4,1695173.13,-0.339,0.9,0.7,1.05
PROJ_0032,bridge_construction,Hyderabad,24959584.63,651,13.5,15.5,0.584,0.801,0.451,0.487,0.02,34.7,1594061.32,-0.02,0.8,0.7,1.0
PROJ_0033,highway_construction,Kolkata,14041421.61,606,43.6,49.9,0.67,0.727,0.375,0.51,0.063,44.3,1230773.06,-0.063,0.7,0.9,0.95
PROJ_0034,industrial_facility,Pune,62316548.65,1141,87.9,25.9,0.709,0.876,0.567,0.433,0.0,35.3,2310502.6,0.619,0.9,0.7,1.05
PROJ_0035,highway_construction,Bangalore,14979570.86,507,12.3,46.0,0.614,0.87,0.36,0.393,0.337,43.1,1527049.07,-0.337,0.9,0.6,1.05
PROJ_0036,industrial_facility,Delhi,42114385.96,1117,74.8,46.1,0.571,0.869,0.556,0.504,0.0,44.9,2030240.97,0.286,0.9,0.8,1.0
PROJ_0037,commercial_building,Mumbai,6391692.04,392,25.0,67.1,0.718,0.784,0.27,0.421,0.421,21.3,416304.47,-0.421,0.8,0.9,1.1
PROJ_0038,highway_construction,Kolkata,12972690.52,443,62.8,70.0,0.467,0.733,0.351,0.712,0.372,41.1,1443152.48,-0.072,0.7,0.9,0.95
PROJ_0039,industrial_facility,Ahmedabad,47667710.56,886,51.8,45.9,0.684,0.866,0.59,0.483,0.0,24.2,1561791.81,0.059,0.8,0.8,0.98
PROJ_0040,residential_building,Mumbai,2566376.39,172,51.0,53.1,0.746,0.812,0.213,0.555,0.02,30.5,546141.79,-0.02,0.8,0.9,1.1
PROJ_0041,highway_construction,Delhi,11566971.95,451,72.9,26.7,0.758,0.809,0.346,0.682,0.0,39.4,1212544.46,0.462,0.9,0.8,1.0
PROJ_0042,residential_building,Pune,1760932.67,223,45.3,69.1,0.809,0.855,0.227,0.623,0.238,23.4,222394.18,-0.238,0.9,0.7,1.05
PROJ_0043,bridge_construction,Pune,20729681.56,578,10.2,49.1,0.833,0.782,0.428,0.505,0.389,40.5,1740455.14,-0.389,0.9,0.7,1.05
PROJ_0044,bridge_construction,Ahmedabad,18904388.9,851,17.3,11.9,0.731,0.842,0.427,0.411,0.0,37.1,989186.2,0.054,0.8,0.8,0.98
PROJ_0045,commercial_building,Kolkata,9569160.04,303,42.3,69.3,0.514,0.839,0.275,0.513,0.271,47.3,1795237.18,-0.271,0.7,0.9,0.95
PROJ_0046,commercial_building,Hyderabad,8408977.62,404,37.2,55.2,0.544,0.846,0.279,0.636,0.179,34.0,848048.87,-0.179,0.8,0.7,1.0
PROJ_0047,commercial_building,Pune,7727123.55,295,60.7,46.9,0.843,0.875,0.309,0.401,0.0,26.7,841704.38,0.138,0.9,0.7,1.05
PROJ_0048,commercial_building,Chennai,12488181.09,351,55.3,41.0,0.565,0.773,0.302,0.366,0.0,31.7,1353606.54,0.142,0.8,0.8,1.0
PROJ_0049,industrial_facility,Kolkata,54875632.14,1010,17.8,62.1,0.434,0.784,0.591,0.628,0.443,36.4,2371713.9,-0.443,0.7,0.9,0.95
PROJ_0050,industrial_facility,Hyderabad,33230689.18,802,59.4,30.9,0.568,0.81,0.542,0.476,0.0,49.6,2464992.62,0.285,0.8,0.7,1.0
PROJ_0051,commercial_building,Delhi,6045300.78,409,35.4,74.0,0.807,0.867,0.3,0.459,0.686,26.5,470643.86,-0.386,0.9,0.8,1.0
PROJ_0052,bridge_construction,Kolkata,17777740.69,766,65.3,20.4,0.496,0.776,0.435,0.705,0.0,38.3,1067333.86,0.449,0.7,0.9,0.95
PROJ_0053,industrial_facility,Delhi,53379735.88,943,83.0,53.2,0.842,0.841,0.586,0.358,0.0,23.7,1607265.95,0.298,0.9,0.8,1.0
PROJ_0054,commercial_building,Pune,12258881.81,361,35.1,33.3,0.829,0.897,0.311,0.547,0.0,24.6,1003390.66,0.017,0.9,0.7,1.05
PROJ_0055,industrial_facility,Bangalore,48129808.77,1066,33.5,18.6,0.736,0.858,0.586,0.411,0.0,24.3,1316197.81,0.149,0.9,0.6,1.05
PROJ_0056,bridge_construction,Bangalore,27297723.8,652,60.1,14.1,0.839,0.793,0.477,0.656,0.0,20.8,1044362.08,0.46,0.9,0.6,1.05
PROJ_0057,industrial_facility,Hyderabad,38565651.71,875,56.9,18.7,0.5,0.846,0.564,0.451,0.0,27.9,1475320.91,0.382,0.8,0.7,1.0
